Year,Gen#,SL,Wt ,Mark,Finclip,Type,Scale,Date,Nest ,Site,Study,Notes
S18-,276,48.2,2,Ly3,no,sn,no,18-06-09,,main,,"11KT injection, 10ul, dorsal"
S18-,277,72.8,8.55,Lb5b6,yes,NM,yes,18-06-10,OSL Far A,left_far,Std Assay #165,
S18-,278,58.6,4.03,Lw3w5,yes,Sat,yes,18-06-10,OSL Far A,left_far,Std Assay #166,
S18-,279,72.3,10.52,NA,yes,NM,yes,18-06-10,OSL Far B,left_far,Std Assay #167,
S18-,280,72,8.93,NA,yes,NM,yes,18-06-10,OSL Far D,left_far,Std Assay #168,
S18-,281,48.9,2.49,Lb1b5,yes,fem,yes,18-06-10,OSL Far A,left_far,Std Assay #169,
S18-,282,62.7,5.01,Lw3w6,yes,Sat,yes,18-06-10,OSL Far D,left_far,Std Assay #170,
S18-,283,43.5,1.75,Lp1p2p3,yes,fem,yes,18-06-11,OSL Far E,left_far,Mem Assay #82,
S18-,284,59.3,4.15,Lw4w5,yes,Sat,yes,18-06-11,OSL Far L,left_far,Mem Assay #83,
S18-,285,45.3,1.93,Lo3o5,yes,sn,yes,18-06-11,OSL Far E,left_far,Mem Assay #85,
S18-,286,75.5,9.17,NA,no,NM,yes,18-06-11,OSL CC,left,Removals,
S18-,287,54.3,2.88,Lo1,no,sn,no,18-06-10,OSL Far,left_far,,"11KT injection, 14.5ul, dorsal"
S18-,288,48,2.34,Lo2,no,sn,no,18-06-10,OSL Far,left_far,,"11KT injection, 11.5ul, dorsal"
S18-,289,58,3.98,Lo3,no,sn,no,18-06-10,OSL Far,left_far,,"11KT injection, 20ul, dorsal"
S18-,290,49.3,2.09,Lo4,no,sn,no,18-06-10,OSL Far,left_far,,"11KT injection, 10ul, dorsal"
S18-,291,49.6,2.26,Lo5,no,sn,no,18-06-10,OSL Far,left_far,,"11KT injection, 11ul, dorsal"
S18-,292,63.2,5.16,Lw1,no,sn/nr,no,18-06-11,OSR,right,,"11KT injection, 26ul, dorsal"
S18-,293,56,3.41,Lw2,no,sn/nr,no,18-06-11,OSR,right,,"11KT injection, 17ul, dorsal"
S18-,294,46.4,1.84,Lw3,no,sn,no,18-06-11,OSR,right,,"11KT injection, 9ul, dorsal"
S18-,295,75.7,9.68,NA,yes,NM,yes,18-06-12,OSL Far L,left_far,Removals,
S18-,296,66,5.88,NA,yes,Sat,yes,18-06-12,Neighbor of OSL Far L,left_far,Removals,
S18-,297,48.8,2.46,Lp1,no,2nd Sat,no,18-06-12,OSL Far L,left_far,Removals,"11KT injection, 12ul, dorsal"
S18-,298,74.9,8.97,NA,yes,NM,yes,18-06-12,OSL Q,left,Removals,
S18-,299,60.5,4.22,NA,yes,Sat,yes,18-06-12,OSL Q,left,Removals,
S18-,300,77.5,9.76,NA,yes,NM,yes,18-06-12,OSL R,left,Removals,
S18-,301,66.2,5.93,NA,yes,Sat,yes,18-06-12,OSL R,left,Removals,
S18-,302,62.8,4.76,NA,yes,2nd Sat,yes,18-06-12,OSL R,left,Removals,
S18-,303,51.5,2.78,Lp2,no,sn,no,18-06-12,OSL,left,,"11KT injection, 14ul, dorsal"
S18-,304,50,2.39,Lp3,no,sn,no,18-06-12,OSL,left,,"11KT injection, 12ul, dorsal"
S18-,305,50.4,2.54,Lp4,no,sn,no,18-06-12,OSL,left,,"11KT injection, 12.5ul, dorsal"
S18-,306,44.2,1.78,Lp5,no,sn,no,18-06-12,OSL,left,,"11KT injection, 9ul, dorsal"
